purchase_id,invoice_number,purchase_date,vendor_name,purchase_total
90,062102098,2/23/2025,Livetube,7185.31
91,072409888,6/6/2025,Demivee,9103.28
92,113024177,9/16/2024,Katz,4162.36
93,082001247,11/7/2024,Viva,6342.93
94,101902117,10/22/2024,Meevee,1942.49
95,092901476,10/13/2024,Aivee,6272.76
96,072413298,2/28/2025,Feedspan,8831.49
97,061101197,6/17/2025,Kamba,2591.05
98,113110379,11/3/2024,Realmix,8038.73
99,103103600,7/14/2025,Fivebridge,9208.22
100,321070450,8/4/2025,Quatz,403.62
101,055002286,11/4/2024,Mymm,3796.77
102,122240751,3/28/2025,Jatri,4486.17
103,291270636,2/20/2025,Zoombox,7471.95
104,102100992,11/6/2024,Photobean,5507.56
105,091001157,1/3/2025,Zoonder,2500.83
106,075908658,8/18/2024,Mynte,8846.18
107,021502095,1/27/2025,Zava,6009.66
108,091904018,9/21/2024,Yombu,6674.8
109,123206846,9/28/2024,Thoughtblab,8772.34
110,114902874,12/14/2024,Leexo,7302.42
111,064102601,8/18/2024,Quimba,4309.31
112,072401404,3/24/2025,Avavee,6294.56
113,083903085,2/28/2025,Flashspan,5219.15
114,091071608,12/25/2024,Quaxo,4745.96
115,111025013,12/8/2024,Oyope,1040.28
116,064100852,8/20/2024,Agimba,6954.44
117,242071237,12/19/2024,Shuffledrive,6522.19
118,081204281,5/21/2025,Dabshots,9343.25
119,075900986,11/22/2024,Meetz,4753.78
120,073913425,2/9/2025,Flipbug,6795.79
121,122241941,12/21/2024,Wikivu,5462.68
122,043309975,10/29/2024,Eamia,8880.54
123,122041523,7/6/2025,Centizu,166.51
124,071913731,3/13/2025,Mydeo,430.48
125,267086058,10/12/2024,Gabcube,7184.29
126,081923452,5/12/2025,Yozio,259.23
127,251472636,1/28/2025,Skimia,9801.52
128,253170143,2/1/2025,Ooba,7531.13
129,101101866,11/18/2024,Innojam,1300.06
130,053112864,12/8/2024,Tazzy,9022.42
131,042103253,2/6/2025,Flashpoint,5874.75
132,065301155,11/18/2024,Meemm,5539.04
133,104900323,11/3/2024,Mydeo,8125.68
134,072413036,7/6/2025,Topdrive,5556.15
135,073921909,8/10/2025,Meedoo,9495.11
136,026014368,9/5/2024,Twinder,4003.92
137,122100024,11/20/2024,Miboo,4145.6
138,114901859,4/4/2025,Trudeo,5206.8
139,221370878,6/18/2025,Gevee,7164.37
140,102189285,10/14/2024,Aibox,5321.95
141,062102292,6/14/2025,Plajo,4589.73
142,113017346,5/29/2025,Dazzlesphere,6390.0
143,042207308,2/24/2025,Rhynoodle,7251.88
144,123308825,4/1/2025,Zoovu,832.59
145,103102290,10/6/2024,Voonix,7902.12
146,082904043,4/6/2025,Wordtune,3010.8
147,061211168,4/13/2025,Rhynoodle,497.13
148,101101662,10/21/2024,Brainverse,6109.19
149,101113676,10/27/2024,Kimia,7810.9
150,074913233,12/8/2024,Voolia,7522.26
151,081000032,4/10/2025,Youspan,223.93
152,084204929,10/1/2024,Tazz,1288.25
153,021202175,1/22/2025,Dabfeed,2742.4
154,102201244,12/5/2024,Bluezoom,4652.76
155,052100741,2/25/2025,Meejo,2146.51
156,061302417,4/23/2025,Yodo,6309.23
157,042307224,11/30/2024,Skinder,7955.84
158,043018868,7/20/2025,Skilith,8208.17
159,053274113,7/24/2025,Jatri,4180.19
160,067011993,9/16/2024,DabZ,821.27
161,113110984,12/18/2024,Rooxo,58.37
162,265270222,1/22/2025,Mymm,7294.12
163,064000017,2/2/2025,Wikizz,2986.68
164,026010825,12/7/2024,Vidoo,759.99
165,101918965,6/18/2025,Divape,1081.23
166,063114784,5/31/2025,Trupe,8585.82
167,241070459,12/3/2024,Dabvine,1337.11
168,121136785,8/11/2024,Meembee,9112.46
169,072401048,8/18/2024,Youspan,8076.71
170,111908965,12/2/2024,Twitterworks,6237.93
171,081507425,6/18/2025,Dazzlesphere,9591.86
172,061219830,5/23/2025,Brainbox,2180.45
173,313173349,11/19/2024,Mydo,9648.47
174,113110667,7/20/2025,Livetube,3662.83
175,242272447,2/26/2025,Flipstorm,7893.73
176,071922421,10/30/2024,Feedspan,5611.75
177,111304064,11/11/2024,Yozio,4481.52
178,021907315,5/24/2025,Buzzdog,9576.38
179,071923543,5/20/2025,Skajo,1447.14
180,322271779,7/17/2025,Flipbug,8031.16
181,111909443,10/10/2024,Reallinks,4379.29
182,064108647,1/20/2025,Eamia,323.24
183,113015584,12/3/2024,Gigabox,8607.02
184,031100908,5/11/2025,Livetube,2337.07
185,083912393,5/22/2025,DabZ,6257.05
186,114000776,4/10/2025,Edgetag,3088.67
187,081205112,12/11/2024,Skiptube,7857.22
188,325182755,10/31/2024,Divanoodle,4874.05
189,031306168,7/18/2025,Meedoo,3833.4
190,074902341,2/25/2025,Vimbo,1107.59
191,071074528,1/7/2025,Lajo,7715.74
192,044000804,9/4/2024,Wikizz,4060.09
193,064207946,3/24/2025,Meeveo,5763.25
194,267083763,12/12/2024,Tekfly,1976.03
195,082901839,4/29/2025,Photobug,692.49
196,101101785,7/16/2025,Shufflebeat,226.76
197,053112385,11/26/2024,Aimbu,6396.2
198,062102933,6/12/2025,Jayo,912.42
199,053111988,3/3/2025,Dabjam,7566.79
200,054001220,5/28/2025,Realmix,5034.75
201,028001081,12/6/2024,Divavu,1924.51
202,123206011,3/12/2025,Yamia,8534.6
203,065404256,8/27/2024,Thoughtmix,1808.21
204,067009280,6/4/2025,Quaxo,8211.95
205,103101110,5/10/2025,Vinte,6535.33
206,082974471,2/19/2025,Mymm,5524.48
207,071925062,12/23/2024,Skivee,2924.93
208,042101404,3/9/2025,Tanoodle,3092.63
209,271972064,12/29/2024,Quinu,1858.07
210,063112825,11/19/2024,Avavee,4079.38
211,221278721,1/18/2025,Janyx,8086.36
212,064109073,6/16/2025,Eire,4662.57
213,125107008,3/19/2025,Rhyzio,1979.65
214,103101165,10/15/2024,Eabox,9146.27
215,104910342,5/30/2025,Gabcube,3171.51
216,071109707,2/14/2025,Riffwire,6686.54
217,107006101,7/31/2025,Quimba,9366.82
218,055002480,11/29/2024,Eare,4361.14
219,042104401,3/22/2025,Edgeify,6370.5
220,044102362,6/23/2025,Topdrive,6218.1
221,075912233,6/19/2025,Fliptune,9491.87
222,101111348,6/3/2025,LiveZ,3070.66
223,211274450,10/15/2024,Mynte,3489.5
224,091206965,2/25/2025,Roomm,5691.05
225,122000030,5/23/2025,Aimbo,6180.49
226,111906161,1/14/2025,InnoZ,2420.65
227,125008288,10/30/2024,Rooxo,5152.95
228,111924305,1/27/2025,Zoombox,1640.9
229,062200783,3/15/2025,Quinu,9614.39
230,053112479,2/16/2025,Mydeo,8819.47
231,074906826,7/16/2025,Babbleopia,624.39
232,055001384,3/20/2025,Wikizz,363.86
233,073922678,12/12/2024,Voomm,337.96
234,063103407,11/3/2024,Skyble,2505.06
235,104101465,11/12/2024,Trudoo,6852.33
236,111300932,10/25/2024,Jazzy,8893.94
237,083901744,12/17/2024,Yabox,2092.29
238,111302545,5/20/2025,Edgeify,9954.1
239,082900380,11/23/2024,Tazzy,9374.46
240,065405226,5/17/2025,Twitterbeat,9915.5
241,122106154,8/27/2024,Yoveo,5581.19
242,053110112,4/14/2025,Voonix,620.72
243,124300806,8/20/2024,Skyvu,3922.19
244,111913248,9/15/2024,Voonte,6265.42
245,211274450,7/18/2025,Dabjam,1459.73
246,072413256,1/20/2025,Pixoboo,193.75
247,252070435,12/15/2024,Centizu,5391.42
248,042215060,9/12/2024,Rhyzio,6557.77
249,122238077,7/31/2025,Blogspan,3399.17
250,125200060,12/26/2024,Skippad,829.34
251,122242843,2/7/2025,Eamia,7013.36
252,071925156,6/6/2025,Avamba,5537.59
253,211179982,12/21/2024,Aimbu,2592.6
254,042201948,7/25/2025,Realbuzz,64.75
255,112205764,2/26/2025,Kazio,5749.09
256,111101597,7/24/2025,Wordpedia,5485.31
257,091209755,2/20/2025,Browsedrive,9120.69
258,083902798,5/14/2025,Babbleset,5914.51
259,021110209,7/22/2025,Linktype,59.57
260,083905326,3/14/2025,Linktype,9681.09
261,063113727,4/23/2025,Talane,380.97
262,063115178,8/2/2025,Gabtune,3267.92
263,073918608,3/22/2025,Mita,4431.33
264,114916488,9/13/2024,Skimia,7092.93
265,072413719,9/16/2024,DabZ,4552.38
266,055000372,7/29/2025,Myworks,217.67
267,052204346,8/7/2025,Quaxo,8678.05
268,053109877,6/16/2025,Yodo,7726.73
269,275970826,3/21/2025,Devpoint,8093.73
270,243073852,4/6/2025,Realpoint,8056.85
271,021502105,12/24/2024,Tanoodle,8642.69
272,031315007,2/13/2025,Rhyloo,6456.37
273,113024407,5/23/2025,Riffpedia,4353.19
274,123206710,10/28/2024,Voonix,2910.08
275,044205146,2/1/2025,Tazzy,6203.64
276,263190757,3/20/2025,Kayveo,4170.0
277,231371579,11/25/2024,Edgeclub,4088.49
278,122239021,12/14/2024,Skibox,3545.65
279,081001714,8/3/2025,Aimbo,8895.47
280,071123518,1/19/2025,Flashdog,8939.82
281,102102013,5/1/2025,Gigazoom,4829.3
282,125008220,4/19/2025,Devshare,8827.82
283,124300327,4/1/2025,Thoughtbeat,768.18
284,322285846,12/30/2024,Edgewire,9079.67
285,031201467,7/11/2025,Skivee,7874.25
286,107006059,2/8/2025,Vinder,9295.82
287,114922003,8/24/2024,Edgetag,4001.19
288,071108669,1/17/2025,Quimba,6560.12
289,061120327,5/31/2025,Rhycero,3602.29
290,055001384,4/29/2025,Twitterworks,2364.61
291,101200453,9/27/2024,Lazzy,1346.43
292,081923452,6/25/2025,Fadeo,7843.73
293,065200243,9/2/2024,Trilia,2904.73
294,122016066,8/11/2024,Skilith,8251.26
295,123103570,10/16/2024,Photobean,9580.93
296,064103105,3/26/2025,Linkbuzz,6460.17
297,081018794,10/10/2024,Flipstorm,3487.71
298,101101662,3/16/2025,Buzzdog,4653.51
299,264071752,7/2/2025,Topicblab,8428.39
300,211172785,6/2/2025,Yodel,2444.15
301,123006800,12/7/2024,Twitternation,7218.76
302,111313000,6/1/2025,Mymm,7585.5
303,121181798,7/22/2025,Kanoodle,2904.09
304,265270769,8/26/2024,Voonder,578.89
305,104901034,7/24/2025,Quinu,6952.35
306,081211669,4/13/2025,Chatterbridge,6015.94
307,226078049,3/1/2025,Riffwire,4871.82
308,073922322,6/11/2025,Rhyloo,9489.77
309,086314367,7/26/2025,Yoveo,9259.61
310,075901354,5/18/2025,Gabspot,8674.85
311,221672851,4/4/2025,Omba,2367.95
312,071922379,3/17/2025,Photobean,4301.86
313,071200538,1/17/2025,Aimbu,888.14
314,084303008,6/3/2025,Viva,741.01
315,061108161,1/14/2025,Meezzy,5072.07
316,111901959,1/3/2025,Jamia,4785.3
317,321170444,5/21/2025,Ozu,5283.1
318,031300821,5/31/2025,Meevee,7166.98
319,072404841,8/22/2024,Realblab,2808.65
320,082907464,4/30/2025,Yakidoo,1802.42
321,071001685,9/28/2024,Dabvine,4624.46
322,052100893,12/11/2024,Zoonoodle,3397.58
323,083000137,1/19/2025,Myworks,864.77
324,042206804,4/12/2025,Feedfish,6197.92
325,122239021,11/25/2024,Thoughtmix,3558.65
326,021973019,12/28/2024,Voonder,6759.44
327,084074395,10/5/2024,Twimm,1982.33
328,031315007,5/28/2025,Realpoint,8240.56
329,091404369,6/26/2025,Vitz,4439.09
330,042101459,7/25/2025,Thoughtmix,2652.23
331,101200440,6/21/2025,Roomm,2904.39
332,074000010,1/13/2025,Centizu,2439.38
333,314974356,6/15/2025,Feednation,5132.96
334,063111169,1/14/2025,Photospace,2237.2
335,055001876,4/7/2025,Chatterbridge,4465.53
336,292970854,4/3/2025,Riffwire,6813.5
337,122240861,10/10/2024,Livefish,1760.35
338,011600033,1/5/2025,Twitterworks,6060.63
339,122105155,6/12/2025,Buzzster,9338.48
340,124103799,12/26/2024,Gabvine,9278.37
341,091207537,12/16/2024,Fivespan,1808.8
342,011001331,7/13/2025,Shufflebeat,3335.37
343,082904043,7/9/2025,Fanoodle,8671.83
344,111304912,5/12/2025,Skinder,5781.34
345,053112178,6/24/2025,InnoZ,9821.11
346,325182564,4/16/2025,Katz,2072.06
347,122037841,12/10/2024,Dazzlesphere,3295.21
348,265470381,5/3/2025,Dynabox,4626.4
349,111321649,3/25/2025,Kimia,885.74
350,111304404,12/29/2024,Dynazzy,1187.74
351,122000658,4/3/2025,Meevee,3969.59
352,107001520,8/24/2024,Gabvine,5424.8
353,125000105,4/6/2025,Cogilith,2817.34
354,111101694,5/21/2025,Skimia,959.67
355,031275998,11/29/2024,Quire,8496.5
356,252070309,10/8/2024,Yakijo,7625.53
357,091108539,11/14/2024,Gigashots,3452.82
358,111908758,5/11/2025,Tagcat,5450.4
359,075906003,4/5/2025,Plambee,2862.76
360,314973412,3/6/2025,Jamia,6294.21
361,123000220,2/11/2025,Zooveo,4776.99
362,271974046,11/25/2024,Flashset,2869.66
363,053111988,3/30/2025,Jaxspan,6643.17
364,067014343,6/24/2025,Ainyx,9415.17
365,103102481,3/22/2025,Lazzy,2698.49
366,122100024,1/17/2025,Oyonder,3816.88
367,042200295,12/12/2024,Centimia,2534.89
368,125107079,12/3/2024,Jaxspan,8518.92
369,111000012,7/4/2025,Oyondu,333.52
370,071122535,2/16/2025,Gabcube,5791.22
371,071004530,2/1/2025,Voonder,7281.03
372,055000262,12/17/2024,Agivu,5302.19
373,091108746,8/10/2025,Gabcube,5383.47
374,073918608,9/20/2024,Layo,98.33
375,114993731,7/26/2025,Mydo,5478.74
376,062200466,11/5/2024,Livetube,71.38
377,072401789,2/14/2025,Omba,9838.86
378,091300719,9/28/2024,Dabvine,4533.23
379,092901256,9/30/2024,Flashspan,6158.96
380,125108463,6/16/2025,Tanoodle,9303.29
381,242272447,9/20/2024,Realcube,2333.66
382,031302777,1/31/2025,Roodel,6103.52
383,101113841,5/1/2025,Browsecat,2779.81
384,231975836,8/20/2024,LiveZ,4243.88
385,114912013,1/21/2025,Viva,9550.32
386,071122535,3/16/2025,Avamm,7926.73
387,322275678,3/27/2025,Yodel,9125.76
388,083903564,12/24/2024,Gevee,2071.59
389,051409210,5/26/2025,Tagcat,2067.94
390,051409139,1/26/2025,Dazzlesphere,6379.65
391,011104173,7/27/2025,Divavu,8034.98
392,011900652,6/21/2025,Kwinu,7329.46
393,081210398,6/30/2025,Feedfire,8315.14
394,061020977,2/21/2025,Tagpad,4835.94
395,111311785,5/12/2025,Browseblab,2813.7
396,271070801,11/30/2024,Voomm,6254.64
397,031305347,7/23/2025,Yodo,4242.48
398,122487307,5/19/2025,Gevee,3858.85
399,107005047,6/23/2025,Oyonder,4729.99
400,271971735,4/12/2025,Zoomlounge,9518.68
401,107006143,7/23/2025,Wikibox,281.3
402,061104958,10/15/2024,Twimm,6108.11
403,125106986,3/2/2025,Katz,8815.33
404,074001048,11/5/2024,Quinu,5636.85
405,061103292,7/29/2025,Dynazzy,5733.92
406,091910879,4/20/2025,Cogibox,5167.1
407,084003191,5/3/2025,Youspan,4548.45
408,061107010,12/31/2024,Edgeclub,7440.15
409,103000703,7/21/2025,Izio,1659.29
410,081303823,10/7/2024,Wikizz,6558.83
411,042101886,8/18/2024,Gigabox,2845.62
412,091409597,5/25/2025,Yozio,6420.01
413,104100945,10/6/2024,Kwideo,6434.31
414,075903792,6/29/2025,Eamia,6151.13
415,111916436,1/27/2025,Gabcube,7913.53
416,054001712,3/23/2025,Roodel,5525.54
417,031902096,1/5/2025,Skinte,2624.84
418,081204281,1/22/2025,Babbleopia,9517.2
419,071121808,1/29/2025,Brightdog,9037.85
420,274970186,1/2/2025,Thoughtworks,3847.77
421,055002480,6/12/2025,Voolith,1684.22
422,091804147,8/22/2024,Wordpedia,9200.84
423,121141822,11/17/2024,Meeveo,3501.7
424,111908091,5/15/2025,Vitz,9073.39
425,071000301,12/8/2024,Meembee,8614.43
426,081000045,5/26/2025,Dabtype,687.07
427,101102331,9/9/2024,Linklinks,7481.84
428,021300077,11/18/2024,Ailane,9382.26
429,113014909,11/7/2024,Rooxo,9271.55
430,123206707,5/24/2025,Babbleset,1622.84
431,011401957,5/2/2025,Browsezoom,6145.22
432,061102701,9/2/2024,Shuffledrive,9540.84
433,075902573,10/22/2024,Skiba,1529.91
434,031205955,11/17/2024,Thoughtbeat,8357.66
435,107006347,12/28/2024,Geba,7755.17
436,075000734,3/6/2025,Photobug,9311.27
437,081904808,9/19/2024,Yamia,7202.09
438,091807254,7/27/2025,Twitterworks,8555.58
439,104900459,8/19/2024,Trudeo,7474.74
440,114907329,8/29/2024,Twimm,7646.18
441,322280870,4/2/2025,Meedoo,3776.59
442,241070433,6/7/2025,Topicshots,4846.17
443,063015537,6/9/2025,Mynte,9591.91
444,123206011,4/28/2025,Talane,6187.33
445,101114992,2/18/2025,Tanoodle,9817.27
446,066007681,11/28/2024,Yata,7324.97
447,321170282,2/24/2025,Yodel,3802.65
448,084201692,3/6/2025,Teklist,1209.24
449,122242102,10/22/2024,Shufflebeat,3300.16
450,044202505,12/23/2024,Leexo,2862.52
451,111915398,7/1/2025,Chatterbridge,7685.91
452,064103833,11/16/2024,Kayveo,9747.98
453,091800015,1/7/2025,Rhyloo,4988.46
454,103000017,1/18/2025,Skibox,3050.99
455,122239063,1/2/2025,Photojam,2315.11
456,021912410,3/5/2025,Topicstorm,3601.85
457,083908174,12/20/2024,Yombu,7662.05
458,125108599,2/4/2025,Nlounge,5321.16
459,071102568,1/24/2025,Zoonoodle,7511.67
460,101101620,6/17/2025,Fivespan,2834.53
461,113104712,6/23/2025,Yambee,3707.93
462,071000039,5/25/2025,Photobug,5197.62
463,121139122,6/2/2025,Shuffledrive,3712.35
464,107001067,1/8/2025,Gigazoom,1702.11
465,081510739,7/5/2025,Thoughtstorm,7536.21
466,063115152,8/28/2024,Meezzy,6769.35
467,067016354,7/15/2025,Oyondu,1447.72
468,084306953,9/9/2024,Trilith,8667.08
469,114922443,4/1/2025,Kare,1116.41
470,114900025,4/26/2025,Jabbersphere,5858.4
471,283972230,12/19/2024,Flashpoint,7214.72
472,091409746,4/29/2025,Jaloo,7710.81
473,065302507,11/11/2024,Jabbercube,7868.03
474,211272504,6/24/2025,Livepath,4853.58
475,055002480,9/23/2024,Jaxworks,4542.09
476,074910692,3/2/2025,Kayveo,6808.15
477,065400140,12/6/2024,Brightbean,8120.56
478,242272874,9/19/2024,Katz,2450.07
479,061209756,3/2/2025,Camimbo,3017.61
480,064207946,2/22/2025,Rooxo,5666.02
481,321170318,11/23/2024,Oozz,8324.05
482,113102714,12/6/2024,Tanoodle,1167.46
483,071103619,12/16/2024,Topicstorm,1291.58
484,101115001,7/25/2025,Eimbee,4908.08
485,103013101,2/10/2025,Buzzshare,8803.31
486,123308786,5/3/2025,Topicstorm,2017.19
487,064109264,9/22/2024,Vitz,9132.86
488,026001423,1/1/2025,Livetube,1115.22
489,111911033,8/27/2024,Midel,2994.58
490,062203751,1/19/2025,Tagopia,1708.62
491,065103887,4/6/2025,Divape,956.9
492,091901011,8/19/2024,Zoozzy,778.23
493,063106352,10/22/2024,Twitterbridge,5629.27
494,264272027,3/16/2025,Jazzy,1319.46
495,031000503,9/9/2024,Abatz,2232.57
496,042102018,6/11/2025,Linklinks,8718.96
497,062205733,6/19/2025,Yodel,6413.47
498,125108764,7/10/2025,Brainlounge,229.68
499,053908081,9/30/2024,Flipopia,6453.49
500,091409487,11/11/2024,Feedspan,5409.2
501,111914917,2/26/2025,Quimm,9359.03
502,274970076,9/21/2024,Yakidoo,1894.64
503,125107998,1/7/2025,Brainlounge,6720.25
504,021307559,1/3/2025,Topdrive,9049.54
505,084204709,9/14/2024,Leexo,7193.57
506,123206053,1/13/2025,Photospace,5258.27
507,021207002,12/6/2024,Youopia,3308.48
508,111317857,6/15/2025,Leexo,1025.58
509,065001426,7/5/2025,Realfire,4472.95
510,074903353,1/29/2025,Yoveo,2128.98
511,101101471,11/18/2024,Bubbletube,3348.4
512,092901476,1/10/2025,Vipe,5592.89
513,036076150,6/8/2025,Twinte,4558.91
514,073908731,1/30/2025,Voonyx,8667.96
515,073900438,10/23/2024,Feednation,4270.13
516,114912013,1/8/2025,Fivechat,590.42
517,061121054,11/18/2024,Bluezoom,4747.27
518,264172156,3/4/2025,Skynoodle,2937.73
519,055002286,8/21/2024,Dynava,9279.89
520,042203001,2/27/2025,Photobug,1391.71
521,064103419,12/22/2024,Twinte,7167.76
522,081307227,7/30/2025,Topiclounge,9586.32
523,062202998,9/21/2024,Kanoodle,949.2
524,122238200,11/2/2024,Npath,6584.16
525,066004367,6/27/2025,Youbridge,6390.22
526,053908081,6/9/2025,Oyonder,1738.27
527,103110237,10/18/2024,Edgepulse,3026.12
528,101102768,1/29/2025,Yakitri,3758.42
529,111924800,8/2/2025,Ntags,5665.96
530,111901467,6/18/2025,Edgetag,7181.12
531,263290220,10/25/2024,Dazzlesphere,1127.98
532,074900356,7/30/2025,Feedfish,8952.93
533,065405349,1/2/2025,Thoughtstorm,322.79
534,064102740,10/24/2024,Quinu,2308.16
535,061308770,3/27/2025,Flashspan,4544.04
536,111901690,5/3/2025,Latz,8628.33
537,067001699,2/21/2025,Voonyx,4077.06
538,061220353,2/21/2025,Zoombeat,1134.23
539,107006512,5/15/2025,Oyoyo,4104.79
540,122243237,6/6/2025,Voonte,1132.63
541,021310591,9/4/2024,Cogidoo,4268.72
542,122242759,4/23/2025,Twinte,3420.98
543,125108890,10/23/2024,Avamba,4161.35
544,111104879,9/26/2024,Meetz,5898.04
545,062201083,11/25/2024,Thoughtblab,1887.51
546,253170253,4/12/2025,Twinte,4076.88
547,125105550,3/27/2025,Wordify,1515.62
548,074914452,12/1/2024,Skivee,324.72
549,102105269,11/18/2024,Skimia,4841.6
550,021410080,4/11/2025,Dabtype,5436.81
551,051409184,1/12/2025,Zooxo,9146.15
552,065301265,7/29/2025,Eazzy,5231.17
553,041002957,3/16/2025,Wikivu,7497.99
554,253170253,4/1/2025,Tagfeed,6410.03
555,121141864,2/12/2025,Edgeblab,1624.86
556,075902340,12/9/2024,Wordify,6853.62
557,063105544,10/27/2024,Yata,4285.17
558,092901256,3/9/2025,Wikibox,2635.17
559,102004331,12/6/2024,Blogtag,1316.99
560,083902374,4/29/2025,Yombu,8795.73
561,071104715,12/13/2024,Browsezoom,4460.33
562,073000176,9/13/2024,Innotype,8293.75
563,051402589,1/10/2025,Yombu,1377.22
564,026010058,8/1/2025,Buzzdog,4450.48
565,021310591,7/21/2025,Oyoyo,9396.25
566,061203257,7/10/2025,Yoveo,5409.78
567,111914687,4/13/2025,Edgepulse,5508.36
568,074014213,6/20/2025,Latz,1840.8
569,021306822,11/13/2024,Chatterpoint,1548.66
570,064108605,5/6/2025,Twiyo,6974.87
571,111907717,6/26/2025,Latz,7749.29
572,122000658,3/22/2025,Roomm,6386.87
573,123206590,5/23/2025,Skiba,7517.06
574,011103093,1/12/2025,Mita,1215.56
575,051000033,3/18/2025,Roodel,1653.2
576,121142818,12/23/2024,Eire,7158.6
577,075910882,5/15/2025,Aimbo,2945.43
578,031100490,8/18/2024,Rhyloo,6549.91
579,072413706,8/20/2024,Youfeed,6420.63
580,081519002,10/20/2024,Skidoo,9944.54
581,072400528,2/27/2025,Skiba,6320.82
582,067006238,10/2/2024,Voolia,9630.44
583,101101581,10/18/2024,Demizz,3395.0
584,063211726,6/3/2025,Rhyloo,9264.9
585,111024849,2/23/2025,Gabtune,5004.04
586,271973775,3/9/2025,Skipfire,2128.87
587,062201708,8/21/2024,Gabspot,4392.53
588,221370030,11/4/2024,Skiba,2481.72
589,074903308,9/15/2024,Mynte,1140.25
